id,skill_area,type,difficulty,question_text,image_url,options,correct_answer,explanation,marks
Q0018,pattern_recognition,visual_sequence,medium,Sample question 18 for Pattern Recognition (medium).,https://example.com/assets/images/pattern_recognition_18.png,"['Option A','Option B','Option C','Option D']",Option C,Sample explanation for question 18.,6
Q0019,pattern_recognition,visual_sequence,easy,Sample question 19 for Pattern Recognition (easy).,https://example.com/assets/images/pattern_recognition_19.png,"['Option A','Option B','Option C','Option D']",Option B,Sample explanation for question 19.,4
Q0020,pattern_recognition,visual_sequence,easy,Sample question 20 for Pattern Recognition (easy).,https://example.com/assets/images/pattern_recognition_20.png,"['Option A','Option B','Option C','Option D']",Option D,Sample explanation for question 20.,4
Q0021,pattern_recognition,visual_sequence,easy,Sample question 21 for Pattern Recognition (easy).,https://example.com/assets/images/pattern_recognition_21.png,"['Option A','Option B','Option C','Option D']",Option D,Sample explanation for question 21.,4
Q0022,critical_thinking,case_study,easy,Sample question 22 for Critical Thinking (easy).,https://example.com/assets/images/critical_thinking_22.png,,subjective,Sample explanation for question 22.,4
Q0023,statistics,quiz,easy,Sample question 23 for Statistics (easy).,,"['Option A','Option B','Option C','Option D']",Option C,Sample explanation for question 23.,4
Q0024,data_interpretation,quiz,medium,Sample question 24 for Data Interpretation (medium).,https://example.com/assets/images/data_interpretation_24.png,"['Option A','Option B','Option C','Option D']",Option C,Sample explanation for question 24.,6
Q0025,pattern_recognition,visual_sequence,easy,Sample question 25 for Pattern Recognition (easy).,https://example.com/assets/images/pattern_recognition_25.png,"['Option A','Option B','Option C','Option D']",Option A,Sample explanation for question 25.,4
Q0026,critical_thinking,case_study,hard,Sample question 26 for Critical Thinking (hard).,https://example.com/assets/images/critical_thinking_26.png,,subjective,Sample explanation for question 26.,10
Q0027,data_interpretation,quiz,easy,Sample question 27 for Data Interpretation (easy).,https://example.com/assets/images/data_interpretation_27.png,"['Option A','Option B','Option C','Option D']",Option C,Sample explanation for question 27.,4
Q0028,critical_thinking,case_study,easy,Sample question 28 for Critical Thinking (easy).,https://example.com/assets/images/critical_thinking_28.png,,subjective,Sample explanation for question 28.,4
Q0029,statistics,quiz,medium,Sample question 29 for Statistics (medium).,,"['Option A','Option B','Option C','Option D']",Option B,Sample explanation for question 29.,6
Q0030,data_interpretation,quiz,medium,Sample question 30 for Data Interpretation (medium).,https://example.com/assets/images/data_interpretation_30.png,"['Option A','Option B','Option C','Option D']",Option D,Sample explanation for question 30.,6
Q0031,critical_thinking,case_study,medium,Sample question 31 for Critical Thinking (medium).,https://example.com/assets/images/critical_thinking_31.png,,subjective,Sample explanation for question 31.,6
Q0032,critical_thinking,case_study,medium,Sample question 32 for Critical Thinking (medium).,https://example.com/assets/images/critical_thinking_32.png,,subjective,Sample explanation for question 32.,6
Q0033,data_interpretation,quiz,hard,Sample question 33 for Data Interpretation (hard).,https://example.com/assets/images/data_interpretation_33.png,"['Option A','Option B','Option C','Option D']",Option B,Sample explanation for question 33.,10
Q0034,data_interpretation,quiz,hard,Sample question 34 for Data Interpretation (hard).,https://example.com/assets/images/data_interpretation_34.png,"['Option A','Option B','Option C','Option D']",Option B,Sample explanation for question 34.,10
Q0035,pattern_recognition,visual_sequence,easy,Sample question 35 for Pattern Recognition (easy).,https://example.com/assets/images/pattern_recognition_35.png,"['Option A','Option B','Option C','Option D']",Option A,Sample explanation for question 35.,4
Q0036,data_interpretation,quiz,medium,Sample question 36 for Data Interpretation (medium).,https://example.com/assets/images/data_interpretation_36.png,"['Option A','Option B','Option C','Option D']",Option C,Sample explanation for question 36.,6
Q0037,statistics,quiz,medium,Sample question 37 for Statistics (medium).,,"['Option A','Option B','Option C','Option D']",Option B,Sample explanation for question 37.,6
Q0038,data_interpretation,quiz,easy,Sample question 38 for Data Interpretation (easy).,https://example.com/assets/images/data_interpretation_38.png,"['Option A','Option B','Option C','Option D']",Option C,Sample explanation for question 38.,4
Q0039,data_interpretation,quiz,medium,Sample question 39 for Data Interpretation (medium).,https://example.com/assets/images/data_interpretation_39.png,"['Option A','Option B','Option C','Option D']",Option B,Sample explanation for question 39.,6
Q0040,pattern_recognition,visual_sequence,medium,Sample question 40 for Pattern Recognition (medium).,https://example.com/assets/images/pattern_recognition_40.png,"['Option A','Option B','Option C','Option D']",Option D,Sample explanation for question 40.,6
Q0041,statistics,quiz,easy,Sample question 41 for Statistics (easy).,,"['Option A','Option B','Option C','Option D']",Option A,Sample explanation for question 41.,4
Q0042,critical_thinking,case_study,medium,Sample question 42 for Critical Thinking (medium).,https://example.com/assets/images/critical_thinking_42.png,,subjective,Sample explanation for question 42.,6
Q0043,statistics,quiz,hard,Sample question 43 for Statistics (hard).,,"['Option A','Option B','Option C','Option D']",Option D,Sample explanation for question 43.,10
Q0044,pattern_recognition,visual_sequence,hard,Sample question 44 for Pattern Recognition (hard).,https://example.com/assets/images/pattern_recognition_44.png,"['Option A','Option B','Option C','Option D']",Option D,Sample explanation for question 44.,10
Q0045,critical_thinking,case_study,easy,Sample question 45 for Critical Thinking (easy).,https://example.com/assets/images/critical_thinking_45.png,,subjective,Sample explanation for question 45.,4
Q0046,pattern_recognition,visual_sequence,hard,Sample question 46 for Pattern Recognition (hard).,https://example.com/assets/images/pattern_recognition_46.png,"['Option A','Option B','Option C','Option D']",Option D,Sample explanation for question 46.,10
Q0047,data_interpretation,quiz,easy,Sample question 47 for Data Interpretation (easy).,https://example.com/assets/images/data_interpretation_47.png,"['Option A','Option B','Option C','Option D']",Option C,Sample explanation for question 47.,4
Q0048,pattern_recognition,visual_sequence,easy,Sample question 48 for Pattern Recognition (easy).,https://example.com/assets/images/pattern_recognition_48.png,"['Option A','Option B','Option C','Option D']",Option B,Sample explanation for question 48.,4
Q0049,pattern_recognition,visual_sequence,easy,Sample question 49 for Pattern Recognition (easy).,https://example.com/assets/images/pattern_recognition_49.png,"['Option A','Option B','Option C','Option D']",Option A,Sample explanation for question 49.,4
Q0050,data_interpretation,quiz,easy,Sample question 50 for Data Interpretation (easy).,https://example.com/assets/images/data_interpretation_50.png,"['Option A','Option B','Option C','Option D']",Option D,Sample explanation for question 50.,4
Q0051,pattern_recognition,visual_sequence,medium,Sample question 51 for Pattern Recognition (medium).,https://example.com/assets/images/pattern_recognition_51.png,"['Option A','Option B','Option C','Option D']",Option C,Sample explanation for question 51.,6
Q0052,critical_thinking,case_study,medium,Sample question 52 for Critical Thinking (medium).,https://example.com/assets/images/critical_thinking_52.png,,subjective,Sample explanation for question 52.,6
Q0053,statistics,quiz,easy,Sample question 53 for Statistics (easy).,,"['Option A','Option B','Option C','Option D']",Option C,Sample explanation for question 53.,4
Q0054,data_interpretation,quiz,medium,Sample question 54 for Data Interpretation (medium).,https://example.com/assets/images/data_interpretation_54.png,"['Option A','Option B','Option C','Option D']",Option B,Sample explanation for question 54.,6
Q0055,statistics,quiz,easy,Sample question 55 for Statistics (easy).,,"['Option A','Option B','Option C','Option D']",Option D,Sample explanation for question 55.,4
Q0056,statistics,quiz,easy,Sample question 56 for Statistics (easy).,,"['Option A','Option B','Option C','Option D']",Option D,Sample explanation for question 56.,4
Q0057,critical_thinking,case_study,hard,Sample question 57 for Critical Thinking (hard).,https://example.com/assets/images/critical_thinking_57.png,,subjective,Sample explanation for question 57.,10
Q0058,statistics,quiz,medium,Sample question 58 for Statistics (medium).,,"['Option A','Option B','Option C','Option D']",Option D,Sample explanation for question 58.,6
Q0059,data_interpretation,quiz,hard,Sample question 59 for Data Interpretation (hard).,https://example.com/assets/images/data_interpretation_59.png,"['Option A','Option B','Option C','Option D']",Option D,Sample explanation for question 59.,10
Q0060,statistics,quiz,easy,Sample question 60 for Statistics (easy).,,"['Option A','Option B','Option C','Option D']",Option D,Sample explanation for question 60.,4
Q0061,statistics,quiz,medium,Sample question 61 for Statistics (medium).,,"['Option A','Option B','Option C','Option D']",Option C,Sample explanation for question 61.,6
Q0062,data_interpretation,quiz,medium,Sample question 62 for Data Interpretation (medium).,https://example.com/assets/images/data_interpretation_62.png,"['Option A','Option B','Option C','Option D']",Option D,Sample explanation for question 62.,6
Q0063,pattern_recognition,visual_sequence,easy,Sample question 63 for Pattern Recognition (easy).,https://example.com/assets/images/pattern_recognition_63.png,"['Option A','Option B','Option C','Option D']",Option B,Sample explanation for question 63.,4
Q0064,critical_thinking,case_study,medium,Sample question 64 for Critical Thinking (medium).,https://example.com/assets/images/critical_thinking_64.png,,subjective,Sample explanation for question 64.,6
Q0065,statistics,quiz,easy,Sample question 65 for Statistics (easy).,,"['Option A','Option B','Option C','Option D']",Option D,Sample explanation for question 65.,4
Q0066,data_interpretation,quiz,easy,Sample question 66 for Data Interpretation (easy).,https://example.com/assets/images/data_interpretation_66.png,"['Option A','Option B','Option C','Option D']",Option D,Sample explanation for question 66.,4
Q0067,pattern_recognition,visual_sequence,medium,Sample question 67 for Pattern Recognition (medium).,https://example.com/assets/images/pattern_recognition_67.png,"['Option A','Option B','Option C','Option D']",Option C,Sample explanation for question 67.,6
Q0068,statistics,quiz,hard,Sample question 68 for Statistics (hard).,,"['Option A','Option B','Option C','Option D']",Option C,Sample explanation for question 68.,10
Q0069,critical_thinking,case_study,medium,Sample question 69 for Critical Thinking (medium).,https://example.com/assets/images/critical_thinking_69.png,,subjective,Sample explanation for question 69.,6
Q0070,data_interpretation,quiz,hard,Sample question 70 for Data Interpretation (hard).,https://example.com/assets/images/data_interpretation_70.png,"['Option A','Option B','Option C','Option D']",Option A,Sample explanation for question 70.,10
Q0071,data_interpretation,quiz,hard,Sample question 71 for Data Interpretation (hard).,https://example.com/assets/images/data_interpretation_71.png,"['Option A','Option B','Option C','Option D']",Option A,Sample explanation for question 71.,10
Q0072,data_interpretation,quiz,easy,Sample question 72 for Data Interpretation (easy).,https://example.com/assets/images/data_interpretation_72.png,"['Option A','Option B','Option C','Option D']",Option B,Sample explanation for question 72.,4
Q0073,critical_thinking,case_study,medium,Sample question 73 for Critical Thinking (medium).,https://example.com/assets/images/critical_thinking_73.png,,subjective,Sample explanation for question 73.,6
Q0074,critical_thinking,case_study,medium,Sample question 74 for Critical Thinking (medium).,https://example.com/assets/images/critical_thinking_74.png,,subjective,Sample explanation for question 74.,6
Q0075,data_interpretation,quiz,easy,Sample question 75 for Data Interpretation (easy).,https://example.com/assets/images/data_interpretation_75.png,"['Option A','Option B','Option C','Option D']",Option A,Sample explanation for question 75.,4
Q0076,data_interpretation,quiz,easy,Sample question 76 for Data Interpretation (easy).,https://example.com/assets/images/data_interpretation_76.png,"['Option A','Option B','Option C','Option D']",Option D,Sample explanation for question 76.,4
Q0077,pattern_recognition,visual_sequence,medium,Sample question 77 for Pattern Recognition (medium).,https://example.com/assets/images/pattern_recognition_77.png,"['Option A','Option B','Option C','Option D']",Option C,Sample explanation for question 77.,6
Q0078,pattern_recognition,visual_sequence,hard,Sample question 78 for Pattern Recognition (hard).,https://example.com/assets/images/pattern_recognition_78.png,"['Option A','Option B','Option C','Option D']",Option B,Sample explanation for question 78.,10
Q0079,critical_thinking,case_study,hard,Sample question 79 for Critical Thinking (hard).,https://example.com/assets/images/critical_thinking_79.png,,subjective,Sample explanation for question 79.,10
Q0080,data_interpretation,quiz,medium,Sample question 80 for Data Interpretation (medium).,https://example.com/assets/images/data_interpretation_80.png,"['Option A','Option B','Option C','Option D']",Option B,Sample explanation for question 80.,6
Q0081,critical_thinking,case_study,easy,Sample question 81 for Critical Thinking (easy).,https://example.com/assets/images/critical_thinking_81.png,,subjective,Sample explanation for question 81.,4
Q0082,statistics,quiz,medium,Sample question 82 for Statistics (medium).,,"['Option A','Option B','Option C','Option D']",Option D,Sample explanation for question 82.,6
Q0083,critical_thinking,case_study,medium,Sample question 83 for Critical Thinking (medium).,https://example.com/assets/images/critical_thinking_83.png,,subjective,Sample explanation for question 83.,6
Q0084,pattern_recognition,visual_sequence,medium,Sample question 84 for Pattern Recognition (medium).,https://example.com/assets/images/pattern_recognition_84.png,"['Option A','Option B','Option C','Option D']",Option C,Sample explanation for question 84.,6
Q0085,data_interpretation,quiz,medium,Sample question 85 for Data Interpretation (medium).,https://example.com/assets/images/data_interpretation_85.png,"['Option A','Option B','Option C','Option D']",Option A,Sample explanation for question 85.,6
Q0086,critical_thinking,case_study,hard,Sample question 86 for Critical Thinking (hard).,https://example.com/assets/images/critical_thinking_86.png,,subjective,Sample explanation for question 86.,10
Q0087,statistics,quiz,hard,Sample question 87 for Statistics (hard).,,"['Option A','Option B','Option C','Option D']",Option B,Sample explanation for question 87.,10
Q0088,critical_thinking,case_study,easy,Sample question 88 for Critical Thinking (easy).,https://example.com/assets/images/critical_thinking_88.png,,subjective,Sample explanation for question 88.,4
Q0089,pattern_recognition,visual_sequence,easy,Sample question 89 for Pattern Recognition (easy).,https://example.com/assets/images/pattern_recognition_89.png,"['Option A','Option B','Option C','Option D']",Option D,Sample explanation for question 89.,4
Q0090,statistics,quiz,medium,Sample question 90 for Statistics (medium).,,"['Option A','Option B','Option C','Option D']",Option B,Sample explanation for question 90.,6
Q0091,pattern_recognition,visual_sequence,medium,Sample question 91 for Pattern Recognition (medium).,https://example.com/assets/images/pattern_recognition_91.png,"['Option A','Option B','Option C','Option D']",Option D,Sample explanation for question 91.,6
Q0092,pattern_recognition,visual_sequence,easy,Sample question 92 for Pattern Recognition (easy).,https://example.com/assets/images/pattern_recognition_92.png,"['Option A','Option B','Option C','Option D']",Option D,Sample explanation for question 92.,4
Q0093,pattern_recognition,visual_sequence,hard,Sample question 93 for Pattern Recognition (hard).,https://example.com/assets/images/pattern_recognition_93.png,"['Option A','Option B','Option C','Option D']",Option A,Sample explanation for question 93.,10
Q0094,statistics,quiz,easy,Sample question 94 for Statistics (easy).,,"['Option A','Option B','Option C','Option D']",Option B,Sample explanation for question 94.,4
Q0095,critical_thinking,case_study,hard,Sample question 95 for Critical Thinking (hard).,https://example.com/assets/images/critical_thinking_95.png,,subjective,Sample explanation for question 95.,10
Q0096,data_interpretation,quiz,easy,Sample question 96 for Data Interpretation (easy).,https://example.com/assets/images/data_interpretation_96.png,"['Option A','Option B','Option C','Option D']",Option B,Sample explanation for question 96.,4
Q0097,data_interpretation,quiz,medium,Sample question 97 for Data Interpretation (medium).,https://example.com/assets/images/data_interpretation_97.png,"['Option A','Option B','Option C','Option D']",Option D,Sample explanation for question 97.,6
Q0098,pattern_recognition,visual_sequence,easy,Sample question 98 for Pattern Recognition (easy).,https://example.com/assets/images/pattern_recognition_98.png,"['Option A','Option B','Option C','Option D']",Option C,Sample explanation for question 98.,4
Q0099,data_interpretation,quiz,medium,Sample question 99 for Data Interpretation (medium).,https://example.com/assets/images/data_interpretation_99.png,"['Option A','Option B','Option C','Option D']",Option D,Sample explanation for question 99.,6
Q0100,critical_thinking,case_study,easy,Sample question 100 for Critical Thinking (easy).,https://example.com/assets/images/critical_thinking_100.png,,subjective,Sample explanation for question 100.,4
Q0101,statistics,quiz,hard,Sample question 101 for Statistics (hard).,,"['Option A','Option B','Option C','Option D']",Option A,Sample explanation for question 101.,10
Q0102,statistics,quiz,easy,Sample question 102 for Statistics (easy).,,"['Option A','Option B','Option C','Option D']",Option B,Sample explanation for question 102.,4
Q0103,statistics,quiz,medium,Sample question 103 for Statistics (medium).,,"['Option A','Option B','Option C','Option D']",Option C,Sample explanation for question 103.,6
Q0104,data_interpretation,quiz,medium,Sample question 104 for Data Interpretation (medium).,https://example.com/assets/images/data_interpretation_104.png,"['Option A','Option B','Option C','Option D']",Option B,Sample explanation for question 104.,6
Q0105,data_interpretation,quiz,medium,Sample question 105 for Data Interpretation (medium).,https://example.com/assets/images/data_interpretation_105.png,"['Option A','Option B','Option C','Option D']",Option B,Sample explanation for question 105.,6
Q0106,data_interpretation,quiz,easy,Sample question 106 for Data Interpretation (easy).,https://example.com/assets/images/data_interpretation_106.png,"['Option A','Option B','Option C','Option D']",Option A,Sample explanation for question 106.,4
Q0107,data_interpretation,quiz,easy,Sample question 107 for Data Interpretation (easy).,https://example.com/assets/images/data_interpretation_107.png,"['Option A','Option B','Option C','Option D']",Option A,Sample explanation for question 107.,4
Q0108,pattern_recognition,visual_sequence,easy,Sample question 108 for Pattern Recognition (easy).,https://example.com/assets/images/pattern_recognition_108.png,"['Option A','Option B','Option C','Option D']",Option C,Sample explanation for question 108.,4
Q0109,critical_thinking,case_study,hard,Sample question 109 for Critical Thinking (hard).,https://example.com/assets/images/critical_thinking_109.png,,subjective,Sample explanation for question 109.,10
Q0110,critical_thinking,case_study,medium,Sample question 110 for Critical Thinking (medium).,https://example.com/assets/images/critical_thinking_110.png,,subjective,Sample explanation for question 110.,6
Q0111,statistics,quiz,medium,Sample question 111 for Statistics (medium).,,"['Option A','Option B','Option C','Option D']",Option B,Sample explanation for question 111.,6
Q0112,critical_thinking,case_study,easy,Sample question 112 for Critical Thinking (easy).,https://example.com/assets/images/critical_thinking_112.png,,subjective,Sample explanation for question 112.,4
Q0113,data_interpretation,quiz,medium,Sample question 113 for Data Interpretation (medium).,https://example.com/assets/images/data_interpretation_113.png,"['Option A','Option B','Option C','Option D']",Option A,Sample explanation for question 113.,6
Q0114,statistics,quiz,medium,Sample question 114 for Statistics (medium).,,"['Option A','Option B','Option C','Option D']",Option B,Sample explanation for question 114.,6
Q0115,pattern_recognition,visual_sequence,easy,Sample question 115 for Pattern Recognition (easy).,https://example.com/assets/images/pattern_recognition_115.png,"['Option A','Option B','Option C','Option D']",Option C,Sample explanation for question 115.,4
Q0116,pattern_recognition,visual_sequence,easy,Sample question 116 for Pattern Recognition (easy).,https://example.com/assets/images/pattern_recognition_116.png,"['Option A','Option B','Option C','Option D']",Option D,Sample explanation for question 116.,4
Q0117,pattern_recognition,visual_sequence,easy,Sample question 117 for Pattern Recognition (easy).,https://example.com/assets/images/pattern_recognition_117.png,"['Option A','Option B','Option C','Option D']",Option D,Sample explanation for question 117.,4
Q0118,critical_thinking,case_study,easy,Sample question 118 for Critical Thinking (easy).,https://example.com/assets/images/critical_thinking_118.png,,subjective,Sample explanation for question 118.,4
Q0119,data_interpretation,quiz,easy,Sample question 119 for Data Interpretation (easy).,https://example.com/assets/images/data_interpretation_119.png,"['Option A','Option B','Option C','Option D']",Option B,Sample explanation for question 119.,4
Q0120,pattern_recognition,visual_sequence,easy,Sample question 120 for Pattern Recognition (easy).,https://example.com/assets/images/pattern_recognition_120.png,"['Option A','Option B','Option C','Option D']",Option C,Sample explanation for question 120.,4
Q0121,critical_thinking,case_study,easy,Sample question 121 for Critical Thinking (easy).,https://example.com/assets/images/critical_thinking_121.png,,subjective,Sample explanation for question 121.,4
Q0122,critical_thinking,case_study,easy,Sample question 122 for Critical Thinking (easy).,https://example.com/assets/images/critical_thinking_122.png,,subjective,Sample explanation for question 122.,4
Q0123,pattern_recognition,visual_sequence,medium,Sample question 123 for Pattern Recognition (medium).,https://example.com/assets/images/pattern_recognition_123.png,"['Option A','Option B','Option C','Option D']",Option A,Sample explanation for question 123.,6
Q0124,pattern_recognition,visual_sequence,easy,Sample question 124 for Pattern Recognition (easy).,https://example.com/assets/images/pattern_recognition_124.png,"['Option A','Option B','Option C','Option D']",Option D,Sample explanation for question 124.,4
Q0125,data_interpretation,quiz,medium,Sample question 125 for Data Interpretation (medium).,https://example.com/assets/images/data_interpretation_125.png,"['Option A','Option B','Option C','Option D']",Option B,Sample explanation for question 125.,6
Q0126,pattern_recognition,visual_sequence,easy,Sample question 126 for Pattern Recognition (easy).,https://example.com/assets/images/pattern_recognition_126.png,"['Option A','Option B','Option C','Option D']",Option C,Sample explanation for question 126.,4
Q0127,statistics,quiz,easy,Sample question 127 for Statistics (easy).,,"['Option A','Option B','Option C','Option D']",Option C,Sample explanation for question 127.,4
Q0128,statistics,quiz,medium,Sample question 128 for Statistics (medium).,,"['Option A','Option B','Option C','Option D']",Option C,Sample explanation for question 128.,6
Q0129,data_interpretation,quiz,medium,Sample question 129 for Data Interpretation (medium).,https://example.com/assets/images/data_interpretation_129.png,"['Option A','Option B','Option C','Option D']",Option B,Sample explanation for question 129.,6
Q0130,statistics,quiz,easy,Sample question 130 for Statistics (easy).,,"['Option A','Option B','Option C','Option D']",Option A,Sample explanation for question 130.,4
Q0131,statistics,quiz,hard,Sample question 131 for Statistics (hard).,,"['Option A','Option B','Option C','Option D']",Option D,Sample explanation for question 131.,10
Q0132,pattern_recognition,visual_sequence,medium,Sample question 132 for Pattern Recognition (medium).,https://example.com/assets/images/pattern_recognition_132.png,"['Option A','Option B','Option C','Option D']",Option B,Sample explanation for question 132.,6
Q0133,pattern_recognition,visual_sequence,easy,Sample question 133 for Pattern Recognition (easy).,https://example.com/assets/images/pattern_recognition_133.png,"['Option A','Option B','Option C','Option D']",Option B,Sample explanation for question 133.,4
Q0134,statistics,quiz,easy,Sample question 134 for Statistics (easy).,,"['Option A','Option B','Option C','Option D']",Option D,Sample explanation for question 134.,4
Q0135,statistics,quiz,easy,Sample question 135 for Statistics (easy).,,"['Option A','Option B','Option C','Option D']",Option C,Sample explanation for question 135.,4
Q0136,data_interpretation,quiz,easy,Sample question 136 for Data Interpretation (easy).,https://example.com/assets/images/data_interpretation_136.png,"['Option A','Option B','Option C','Option D']",Option A,Sample explanation for question 136.,4
Q0137,data_interpretation,quiz,hard,Sample question 137 for Data Interpretation (hard).,https://example.com/assets/images/data_interpretation_137.png,"['Option A','Option B','Option C','Option D']",Option D,Sample explanation for question 137.,10
Q0138,data_interpretation,quiz,medium,Sample question 138 for Data Interpretation (medium).,https://example.com/assets/images/data_interpretation_138.png,"['Option A','Option B','Option C','Option D']",Option D,Sample explanation for question 138.,6
Q0139,data_interpretation,quiz,hard,Sample question 139 for Data Interpretation (hard).,https://example.com/assets/images/data_interpretation_139.png,"['Option A','Option B','Option C','Option D']",Option C,Sample explanation for question 139.,10
Q0140,pattern_recognition,visual_sequence,easy,Sample question 140 for Pattern Recognition (easy).,https://example.com/assets/images/pattern_recognition_140.png,"['Option A','Option B','Option C','Option D']",Option A,Sample explanation for question 140.,4
Q0141,data_interpretation,quiz,medium,Sample question 141 for Data Interpretation (medium).,https://example.com/assets/images/data_interpretation_141.png,"['Option A','Option B','Option C','Option D']",Option D,Sample explanation for question 141.,6
Q0142,data_interpretation,quiz,medium,Sample question 142 for Data Interpretation (medium).,https://example.com/assets/images/data_interpretation_142.png,"['Option A','Option B','Option C','Option D']",Option D,Sample explanation for question 142.,6
Q0143,data_interpretation,quiz,easy,Sample question 143 for Data Interpretation (easy).,https://example.com/assets/images/data_interpretation_143.png,"['Option A','Option B','Option C','Option D']",Option B,Sample explanation for question 143.,4
Q0144,statistics,quiz,easy,Sample question 144 for Statistics (easy).,,"['Option A','Option B','Option C','Option D']",Option B,Sample explanation for question 144.,4
Q0145,pattern_recognition,visual_sequence,medium,Sample question 145 for Pattern Recognition (medium).,https://example.com/assets/images/pattern_recognition_145.png,"['Option A','Option B','Option C','Option D']",Option A,Sample explanation for question 145.,6
Q0146,critical_thinking,case_study,easy,Sample question 146 for Critical Thinking (easy).,https://example.com/assets/images/critical_thinking_146.png,,subjective,Sample explanation for question 146.,4
Q0147,pattern_recognition,visual_sequence,easy,Sample question 147 for Pattern Recognition (easy).,https://example.com/assets/images/pattern_recognition_147.png,"['Option A','Option B','Option C','Option D']",Option D,Sample explanation for question 147.,4
Q0148,critical_thinking,case_study,hard,Sample question 148 for Critical Thinking (hard).,https://example.com/assets/images/critical_thinking_148.png,,subjective,Sample explanation for question 148.,10
Q0149,statistics,quiz,medium,Sample question 149 for Statistics (medium).,,"['Option A','Option B','Option C','Option D']",Option A,Sample explanation for question 149.,6
Q0150,data_interpretation,quiz,easy,Sample question 150 for Data Interpretation (easy).,https://example.com/assets/images/data_interpretation_150.png,"['Option A','Option B','Option C','Option D']",Option B,Sample explanation for question 150.,4
Q0151,pattern_recognition,visual_sequence,hard,Sample question 151 for Pattern Recognition (hard).,https://example.com/assets/images/pattern_recognition_151.png,"['Option A','Option B','Option C','Option D']",Option C,Sample explanation for question 151.,10
Q0152,pattern_recognition,visual_sequence,medium,Sample question 152 for Pattern Recognition (medium).,https://example.com/assets/images/pattern_recognition_152.png,"['Option A','Option B','Option C','Option D']",Option C,Sample explanation for question 152.,6
Q0153,statistics,quiz,medium,Sample question 153 for Statistics (medium).,,"['Option A','Option B','Option C','Option D']",Option D,Sample explanation for question 153.,6
Q0154,pattern_recognition,visual_sequence,easy,Sample question 154 for Pattern Recognition (easy).,https://example.com/assets/images/pattern_recognition_154.png,"['Option A','Option B','Option C','Option D']",Option D,Sample explanation for question 154.,4
Q0155,statistics,quiz,medium,Sample question 155 for Statistics (medium).,,"['Option A','Option B','Option C','Option D']",Option D,Sample explanation for question 155.,6
